1000 1
0 0 2138
1 0 2094
10 0 2026
100 0 2049
101 0 2111
102 0 2014
103 0 1999
104 0 2078
105 0 2188
106 0 1946
107 0 2096
108 0 2006
109 0 2072
11 0 2093
110 0 2170
111 0 1979
112 0 2176
113 0 2094
114 0 2077
115 0 2046
116 0 2093
117 0 2122
118 0 2014
119 0 2162
12 0 2224
120 0 2150
121 0 2087
122 0 2080
123 0 2111
124 0 1998
125 0 2021
126 0 2074
127 0 2145
128 0 2089
129 0 2150
13 0 1988
130 0 2111
131 0 2085
132 0 1949
133 0 1998
134 0 2230
135 0 1936
136 0 2034
137 0 2111
138 0 2238
139 0 2069
14 0 2032
140 0 2213
141 0 2080
142 0 2106
143 0 2177
144 0 1989
145 0 2050
146 0 2016
147 0 2021
148 0 1951
149 0 2180
15 0 2071
150 0 2112
151 0 2010
152 0 2032
153 0 2146
154 0 2074
155 0 1928
156 0 2056
157 0 2030
158 0 2054
159 0 1986
16 0 1969
160 0 2071
161 0 2148
162 0 1999
163 0 1902
164 0 2070
165 0 2027
166 0 2078
167 0 1913
168 0 2025
169 0 2035
17 0 2114
170 0 1972
171 0 2108
172 0 1982
173 0 2034
174 0 2082
175 0 2111
176 0 2097
177 0 2158
178 0 1996
179 0 2158
18 0 2056
180 0 2038
181 0 2141
182 0 2154
183 0 2100
184 0 2093
185 0 1949
186 0 2008
187 0 1998
188 0 2128
189 0 2087
19 0 2024
190 0 2070
191 0 2160
192 0 2223
193 0 2018
194 0 2209
195 0 2095
196 0 1841
197 0 2174
198 0 1996
199 0 2227
2 0 2140
20 0 2108
200 0 1966
201 0 2031
202 0 1944
203 0 1987
204 0 2156
205 0 2033
206 0 2112
207 0 2257
208 0 2210
209 0 2096
21 0 2045
210 0 2053
211 0 2159
212 0 2100
213 0 2023
214 0 1959
215 0 1968
216 0 1971
217 0 2127
218 0 2065
219 0 2297
22 0 2139
220 0 2025
221 0 2143
222 0 2029
223 0 2163
224 0 2056
225 0 2006
226 0 2134
227 0 2044
228 0 2180
229 0 2037
23 0 2195
230 0 2067
231 0 2084
232 0 2114
233 0 1985
234 0 1955
235 0 2128
236 0 2097
237 0 2106
238 0 2043
239 0 2133
24 0 1920
240 0 2039
241 0 2084
242 0 2105
243 0 2061
244 0 1877
245 0 2072
246 0 2039
247 0 2125
248 0 2242
249 0 2082
25 0 2082
250 0 2001
251 0 2070
252 0 2078
253 0 2093
254 0 2143
255 0 2002
256 0 1954
257 0 2130
258 0 1987
259 0 2063
26 0 2024
260 0 2096
261 0 1972
262 0 2083
263 0 2028
264 0 2030
265 0 2029
266 0 2029
267 0 2050
268 0 1997
269 0 2223
27 0 2205
270 0 2024
271 0 2230
272 0 2151
273 0 2077
274 0 2035
275 0 1992
276 0 2023
277 0 2063
278 0 2087
279 0 2141
28 0 2038
280 0 2038
281 0 1991
282 0 2024
283 0 1941
284 0 2080
285 0 2080
286 0 1859
287 0 2087
288 0 2001
289 0 2187
29 0 1989
290 0 2148
291 0 2107
292 0 2080
293 0 2119
294 0 1992
295 0 2040
296 0 1908
297 0 2130
298 0 2055
299 0 2130
3 0 2180
30 0 2049
300 0 1988
301 0 2097
302 0 2162
303 0 1956
304 0 2054
305 0 2071
306 0 2065
307 0 2026
308 0 2117
309 0 1955
31 0 2055
310 0 2102
311 0 2127
312 0 1984
313 0 2026
314 0 2160
315 0 2109
316 0 2022
317 0 2102
318 0 2071
319 0 2100
32 0 2072
320 0 2159
321 0 2130
322 0 2115
323 0 2017
324 0 2136
325 0 1970
326 0 2196
327 0 2123
328 0 2094
329 0 2102
33 0 2101
330 0 2209
331 0 2159
332 0 2051
333 0 2050
334 0 2175
335 0 2097
336 0 2161
337 0 2022
338 0 2213
339 0 2042
34 0 2156
340 0 2212
341 0 2016
342 0 1976
343 0 2059
344 0 2115
345 0 2099
346 0 2046
347 0 2135
348 0 2130
349 0 2139
35 0 2074
350 0 1998
351 0 2047
352 0 2182
353 0 2126
354 0 2002
355 0 1987
356 0 2024
357 0 2097
358 0 2065
359 0 2126
36 0 2060
360 0 2039
361 0 2050
362 0 2067
363 0 2076
364 0 1989
365 0 2039
366 0 2043
367 0 2178
368 0 2052
369 0 2103
37 0 2188
370 0 2074
371 0 2192
372 0 2049
373 0 2024
374 0 2022
375 0 1950
376 0 1974
377 0 2096
378 0 2148
379 0 2033
38 0 2157
380 0 1979
381 0 2034
382 0 2033
383 0 2157
384 0 2016
385 0 2066
386 0 2084
387 0 2067
388 0 2100
389 0 2034
39 0 2118
390 0 2157
391 0 2070
392 0 1910
393 0 1937
394 0 2085
395 0 2225
396 0 2041
397 0 2141
398 0 2075
399 0 2045
4 0 2069
40 0 2017
400 0 2043
401 0 2069
402 0 1998
403 0 2098
404 0 2043
405 0 2205
406 0 2031
407 0 1962
408 0 1967
409 0 2051
41 0 2111
410 0 2051
411 0 1949
412 0 2027
413 0 2036
414 0 2087
415 0 1939
416 0 2182
417 0 2257
418 0 2034
419 0 2150
42 0 2134
420 0 2025
