500 1
0 0 1
1 0 1
2 0 2
3 0 2
4 0 3
5 0 3
6 0 2
7 0 3
8 0 2
9 0 3
10 0 2
11 0 4
12 0 4
13 0 4
14 0 3
15 0 1
16 0 2
17 0 2
18 0 4
19 0 4
20 0 4
21 0 1
22 0 2
23 0 2
24 0 2
25 0 4
26 0 3
27 0 3
28 0 2
29 0 3
30 0 3
31 0 1
32 0 1
33 0 2
34 0 3
35 0 4
36 0 4
37 0 2
38 0 4
39 0 3
40 0 1
41 0 4
42 0 4
43 0 4
44 0 1
45 0 4
46 0 3
47 0 1
48 0 1
49 0 3
50 0 3
51 0 2
52 0 3
53 0 2
54 0 3
55 0 3
56 0 1
57 0 1
58 0 1
59 0 2
60 0 2
61 0 2
62 0 1
63 0 2
64 0 3
65 0 1
66 0 1
67 0 4
68 0 1
69 0 4
70 0 1
71 0 3
72 0 3
73 0 1
74 0 4
75 0 2
76 0 1
77 0 2
78 0 2
79 0 3
80 0 3
81 0 2
82 0 4
83 0 3
84 0 4
85 0 1
86 0 3
87 0 1
88 0 4
89 0 2
90 0 2
91 0 2
92 0 3
93 0 1
94 0 1
95 0 2
96 0 4
97 0 3
98 0 4
99 0 4
100 0 4
101 0 1
102 0 2
103 0 3
104 0 4
105 0 3
106 0 2
107 0 1
108 0 3
109 0 3
110 0 1
111 0 2
112 0 2
113 0 4
114 0 4
115 0 3
116 0 2
117 0 3
118 0 3
119 0 3
120 0 3
121 0 3
122 0 1
123 0 2
124 0 3
125 0 2
126 0 2
127 0 4
128 0 3
129 0 4
130 0 3
131 0 2
132 0 2
133 0 2
134 0 3
135 0 2
136 0 3
137 0 2
138 0 3
139 0 2
140 0 2
141 0 4
142 0 3
143 0 2
144 0 3
145 0 2
146 0 2
147 0 4
148 0 3
149 0 1
150 0 3
151 0 2
152 0 2
153 0 3
154 0 1
155 0 1
156 0 1
157 0 4
158 0 2
159 0 4
160 0 1
161 0 1
162 0 2
163 0 1
164 0 4
165 0 2
166 0 1
167 0 2
168 0 1
169 0 4
170 0 3
171 0 3
172 0 4
173 0 3
174 0 3
175 0 4
176 0 1
177 0 1
178 0 2
179 0 2
180 0 3
181 0 1
182 0 3
183 0 3
184 0 4
185 0 3
186 0 4
187 0 1
188 0 3
189 0 1
190 0 1
191 0 3
192 0 1
193 0 4
194 0 4
195 0 3
196 0 1
197 0 3
198 0 1
199 0 4
200 0 3
201 0 3
202 0 3
203 0 1
204 0 2
205 0 2
206 0 4
207 0 3
208 0 1
209 0 3
210 0 3
211 0 4
212 0 3
213 0 3
214 0 4
215 0 4
216 0 1
217 0 1
218 0 4
219 0 2
220 0 4
221 0 1
222 0 1
223 0 3
224 0 3
225 0 1
226 0 1
227 0 3
228 0 4
229 0 1
230 0 2
231 0 2
232 0 1
233 0 4
234 0 4
235 0 4
236 0 3
237 0 2
238 0 2
239 0 3
240 0 2
241 0 3
242 0 2
243 0 3
244 0 2
245 0 2
246 0 2
247 0 4
248 0 4
249 0 2
250 0 2
251 0 2
252 0 1
253 0 3
254 0 3
255 0 2
256 0 4
257 0 4
258 0 1
259 0 4
260 0 3
261 0 1
262 0 4
263 0 3
264 0 4
265 0 4
266 0 1
267 0 2
268 0 2
269 0 4
270 0 4
271 0 1
272 0 3
273 0 4
274 0 4
275 0 4
276 0 2
277 0 4
278 0 4
279 0 1
280 0 4
281 0 2
282 0 4
283 0 2
284 0 2
285 0 4
286 0 4
287 0 1
288 0 2
289 0 3
290 0 3
291 0 4
292 0 2
293 0 2
294 0 4
295 0 3
296 0 2
297 0 3
298 0 4
299 0 4
300 0 2
301 0 4
302 0 3
303 0 1
304 0 1
305 0 4
306 0 3
307 0 2
308 0 1
309 0 4
310 0 1
311 0 2
312 0 2
313 0 1
314 0 1
315 0 1
316 0 1
317 0 3
318 0 3
319 0 1
320 0 2
321 0 3
322 0 3
323 0 1
324 0 3
325 0 2
326 0 3
327 0 2
328 0 1
329 0 4
330 0 4
331 0 1
332 0 3
333 0 2
334 0 2
335 0 1
336 0 4
337 0 2
338 0 4
339 0 4
340 0 1
341 0 2
342 0 4
343 0 2
344 0 4
345 0 3
346 0 1
347 0 1
348 0 1
349 0 4
350 0 4
351 0 4
352 0 1
353 0 4
354 0 3
355 0 1
356 0 3
357 0 3
358 0 1
359 0 2
360 0 4
361 0 2
362 0 2
363 0 3
364 0 1
365 0 3
366 0 4
367 0 1
368 0 1
369 0 3
370 0 1
371 0 4
372 0 4
373 0 2
374 0 4
375 0 2
376 0 4
377 0 2
378 0 2
379 0 2
380 0 2
381 0 1
382 0 3
383 0 3
384 0 1
385 0 2
386 0 3
387 0 1
388 0 4
389 0 2
390 0 1
391 0 3
392 0 4
393 0 3
394 0 2
395 0 3
396 0 2
397 0 2
398 0 3
399 0 2
400 0 2
401 0 4
402 0 3
403 0 1
404 0 1
405 0 4
406 0 1
407 0 4
408 0 4
